Position	Component	Part Number / Specification	Manufacturer	Material	Qty	Description
1	Base Panel	OpenSolder Stand Base Panel	DIY	ABS	1	Alternative material: Aluminium sheet
2	Side Panel	OpenSolder Stand Side Panel	DIY	ABS	1	Alternative material: Aluminium sheet
3	Rear Panel	OpenSolder Stand Rear Panel	DIY	ABS	1	Alternative material: Aluminium sheet
4	Mid Panel	OpenSolder Stand Mid Panel	DIY	ABS	1	Alternative material: Aluminium sheet
5	Handle	OpenSolder Stand Handle	DIY	ABS	1
6	Tool Holder SCD	12994	JBC	-	1
7	Tool Holder Adapter	OpenSolder Tool Holder Adapter	DIY	ABS	1
8	Tool Holder Washer	OpenSolder Tool Holder Washer	DIY	ABS	1
9	Spool Knob	OpenSolder Spool Knob	DIY	ABS	1
10	Tip Magazine	OpenSolder Tip Magazine	DIY	ABS	1
11	Tip Cleaner	OpenSolder Tip Cleaner	DIY	ABS	1
12	Tip Remover Bracket	OpenSolder Tip Remover Bracket	DIY	Aluminium	1
13	Connector	MJ-064H	Marushin Electric	-	1
14	Rubber Pads	Self adhesive	-	-	4
15	CS Flat Head Screw M3X8	ISO 10642	-	-	3
16	CS Flat Head Screw M3X16	ISO 10642	-	-	15
17	Socket Head Cap Screw M3x25	ISO 4762	-	-	1
18	Washer M3	ISO 7089	-	-	1
19	Locknut M3	ISO 10511	-	-	1
20	Hexagon Screw M10x80	ISO 4014	-	-	1
